NRBTS_Name,LNBTS_Name,DN,ALARM_TIME,CANCEL_TIME,ALARM_NUMBER,TEXT,SUPPLEMENTARY_INFO
BOG.Tabora,BOG.Tabora,PLMN-PLMN/MRBTS-1018/LNBTS-1018/LNADJGNB-0,2024-02-12 11:40:08,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.San Victorino,BOG.San Victorino,PLMN-PLMN/MRBTS-499/LNBTS-499/LNADJGNB-0,2024-02-10 15:43:37,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Andes,BOG.Andes,PLMN-PLMN/MRBTS-350/LNBTS-350/LNCEL-103,2024-02-13 20:00:42,,7114,CELL SERVICE PROBLEM,BTS configuration error (not enough HW for LCR)
BOG.Andes,BOG.Andes,PLMN-PLMN/MRBTS-350/LNBTS-350/LNCEL-53,2024-02-13 20:00:42,,7114,CELL SERVICE PROBLEM,BTS configuration error (not enough HW for LCR)
BOG.Andes,BOG.Andes,PLMN-PLMN/MRBTS-350/LNBTS-350/LNMME-8,2024-02-14 05:06:02,,7107,BASE STATION CONNECTIVITY PROBLEM,S1 interface setup failure
BOG.Armenia-3,BOG.Armenia-3,PLMN-PLMN/MRBTS-2641/LNBTS-2641,2024-02-13 12:59:11,,7657,BASE STATION CONNECTIVITY DEGRADED,Setup of X2 connectivity to gNB failed
BAR.Exito-2 (P1),BAR.Santa Monica,PLMN-PLMN/MRBTS-786661/LNBTS-786661,2024-02-07 04:27:00,,7112,BASE STATION CONFIGURATION PROBLEM,Inter eNB CA parameter(s) inconsistency in between eNBs
BAR.Buenavista-2 (P1),BAR.Santa Monica,PLMN-PLMN/MRBTS-786661/LNBTS-786661,2024-02-07 04:27:00,,7112,BASE STATION CONFIGURATION PROBLEM,Inter eNB CA parameter(s) inconsistency in between eNBs
BAR.Santa Monica,BAR.Santa Monica,PLMN-PLMN/MRBTS-786661/LNBTS-786661,2024-02-07 04:27:00,,7112,BASE STATION CONFIGURATION PROBLEM,Inter eNB CA parameter(s) inconsistency in between eNBs
BAR.Buenavista-3,BAR.Santa Monica,PLMN-PLMN/MRBTS-786661/LNBTS-786661,2024-02-07 04:27:00,,7112,BASE STATION CONFIGURATION PROBLEM,Inter eNB CA parameter(s) inconsistency in between eNBs
BAR.Buenavista-2 (P3),BAR.Santa Monica,PLMN-PLMN/MRBTS-786661/LNBTS-786661,2024-02-07 04:27:00,,7112,BASE STATION CONFIGURATION PROBLEM,Inter eNB CA parameter(s) inconsistency in between eNBs
BAR.Patinodromo,BAR.Santa Monica,PLMN-PLMN/MRBTS-786661/LNBTS-786661,2024-02-07 04:27:00,,7112,BASE STATION CONFIGURATION PROBLEM,Inter eNB CA parameter(s) inconsistency in between eNBs
