mo_distname_parent,adjgnbid,name,MRBTS_Name,LNBTS_Name,mrbts_id,lnbts_id,nrdcdpr_id,carrierfreqnrcell,quantityconfigid,ssbduration,ssboffset,ssbperiodicity,ssbsubcarrierspacing
PLMN-PLMN/MRBTS-611895/LNBTS-611895,16060,CAL.Icesi,CAL.La Maria,CAL.La Maria,611895,611895,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-786720/LNBTS-786720,12510,BAR.CCM:H1,BAR.CCM:H1,BAR.CCM:H1,786720,786720,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-458/LNBTS-458,11794,BOG.Germania,BOG.Germania,BOG.Germania,458,458,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-524577/LNBTS-524577,12415,MED.RB Loma del Escobero,MED.Zoologico,MED.Zoologico,524577,524577,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-8257/LNBTS-8257,16395,BUC.Mutis,BUC.Acropolis,BUC.Acropolis,8257,8257,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-786691/LNBTS-786691,12574,BAR.Riomar-2 H3,BAR.Buenavista-2 (P3),BAR.Buenavista-2 (P3),786691,786691,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-552/LNBTS-552,11896,BOG.Molinos Norte,BOG.Patria:H1,BOG.Patria:H1,552,552,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-524597/LNBTS-524597,11645,MED.Cl.Rosario Poblado:H1,MED.CC Tesoro,MED.CC Tesoro,524597,524597,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-524597/LNBTS-524597,12084,MED.Poblado,MED.CC Tesoro,MED.CC Tesoro,524597,524597,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-526740/LNBTS-526740,11656,MED.Manila,MED.Castropol,MED.Castropol,526740,526740,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-12242/LNBTS-12242,16112,BUC.CC Cabecera,BUC.Sede CC La Florida,BUC.Sede CC La Florida,12242,12242,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-1111/LNBTS-1111,16121,BUC.Real de Minas,,BUC.Bolarqui,1111,1111,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-2981/LNBTS-2981,15296,BOG.Granahorrar-2,BOG.Granahorrar-2,BOG.Granahorrar-2,2981,2981,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-2559/LNBTS-2559,15646,BOG.Teusaquillo,BOG.Teusaquillo Parque P6,BOG.Teusaquillo Parque P6,2559,2559,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-524649/LNBTS-524649,12118,MED.Cristo Rey,MED.Manila,MED.Manila,524649,524649,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-524517/LNBTS-524517,12102,MED.Glorieta San Diego,MED.Los Huesos,MED.Los Huesos,524517,524517,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-4779/LNBTS-4779,11799,BOG.Muelle Int,BOG.Muelle Int,BOG.Muelle Int,4779,4779,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-1735/LNBTS-1735,11560,BOG.Chico Norte-2,BOG.Chico Norte-2,BOG.Chico Norte-2,1735,1735,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-934/LNBTS-934,15392,BOG.Primavera Norte,BOG.Primavera Norte,BOG.Primavera Norte,934,934,0,622656,0,1,0,2,30
PLMN-PLMN/MRBTS-1163/LNBTS-1163,16389,BUC.La Fontana,BUC.Real de Minas,BUC.Real de Minas,1163,1163,0,622656,0,1,0,2,30
