task_name,task_weekday,task_hour,task_agg,task_WS,task_history,region,start_date
BAR,MON,1,Whole Period,"['BAR.Altamira', 'BAR.Alto Prado', 'BAR.Altos de Riomar-2 (P1)', 'BAR.Altos Riomar', 'BAR.Blue Garden (P1)', 'BAR.Buenavista-2 (P2)', 'BAR.Buenavista-3', 'BAR.Buenavista-5 (P1)', 'BAR.Calle 72', 'BAR.Calle 76 (P2)', 'BAR.Calle 80:H4', 'BAR.Calle 93 (P1)', 'BAR.Caribe', 'BAR.Carulla 72', 'BAR.Castellana', 'BAR.Caujaral-2:H2', 'BAR.CCM:H1', 'BAR.Centro Ejecutivo-2 (P1)', 'BAR.Ciudad Jardin', 'BAR.Concretos (P1)', 'BAR.Country Club-2 (P1)', 'BAR.Cumbre', 'BAR.El Golf', 'BAR.Elias Chewing (P1)', 'BAR.Exito', 'BAR.Exito-2 (P1)', 'BAR.Exito-2 (P2)', 'BAR.Gran Centro-2', 'BAR.Las Flores', 'BAR.Pa la Playa (P1)', 'BAR.Pa la Playa', 'BAR.Palmas del Rio', 'BAR.Paraiso', 'BAR.Paraiso-2 (P1)', 'BAR.Parque Padilla (P1)', 'BAR.Parque Padilla (P2)', 'BAR.Parque Rosado (P1)', 'BAR.Parque Rosado (P3)', 'BAR.Parque Rosado (P4)', 'BAR.Patinodromo', 'BAR.Pelu', 'BAR.Porsche', 'BAR.Prado-2', 'BAR.Prado-3:H4', 'BAR.Price Smart (P1)', 'BAR.RB Calle 70 (P1)', 'BAR.RB Club Italiano H2', 'BAR.RB Puerta del Sol (P2)', 'BAR.RB Via 40', 'BAR.Riomar', 'BAR.Riomar-2 H3', 'BAR.Romelio', 'BAR.Sao 93 (P2)', 'BAR.Sorrento', 'BAR.Springfield:H2', 'BAR.Springfield:H3', 'BAR.Suri Salcedo', 'BAR.Tabor', 'BAR.Torcoroma', 'BAR.Uniautonoma (P2)', 'BAR.Uninorte-2 (P1)', 'BAR.Uninorte-2 (P2)', 'BAR.Via 40-4 (P1)', 'BAR.Villa Santos', 'BAR.Villacountry', 'BAR.Villacountry-2:H2', 'BAR.Villacountry-2:H3', 'BAR.Villacountry-3']",7,Costa,23/2/24
BCA,MON,1,Whole Period,['BCA.La Libertad-2'],7,Nororiente,23/2/24
BOG,MON,1,Whole Period,"['BOG.Andino-1', 'BOG.Andino-2', 'BOG.Andino-4', 'BOG.Atlantis', 'BOG.Av Chile', 'BOG.Cabrera-1', 'BOG.Calle 100-2', 'BOG.Calle 94', 'BOG.Calle 94-2', 'BOG.Calle 95', 'BOG.Chico Oriental', 'BOG.Chico Reservado-2', 'BOG.Dann 94', 'BOG.El Lago-1', 'BOG.El Lago-2', 'BOG.Ginebra-1', 'BOG.Granada', 'BOG.Granada-2:H2', 'BOG.Heroes-1', 'BOG.La Carolina', 'BOG.La Salle', 'BOG.Lourdes-1', 'BOG.Multicentro-2', 'BOG.Museo Chico', 'BOG.Patria:H1', 'BOG.Patria:H2', 'BOG.Pedregal-2:H2', 'BOG.Pepe Sierra', 'BOG.Periodistas-1', 'BOG.Periodistas-2', 'BOG.Plaza Claro-1', 'BOG.Plaza Claro-2', 'BOG.Plaza Claro-3', 'BOG.Quinta Camacho-2', 'BOG.Quinta Camacho-3', 'BOG.Rb Calle 86-2:H1', 'BOG.Rb Calle 86-2:H3', 'BOG.Rb Comcel', 'BOG.RB Santa Paula', 'BOG.Rb Telmex', 'BOG.Refugio', 'BOG.Retiro-2', 'BOG.Retiro-3', 'BOG.Rosales-2', 'BOG.Rosales-3', 'BOG.Salitre Plaza', 'BOG.San Patricio-1', 'BOG.Santa Ana-3:H1', 'BOG.Santa Bibiana-4', 'BOG.Teleport-2', 'BOG.Uniandes', 'BOG.Unicentro-1', 'BOG.Unicentro-4', 'BOG.Unicentro-5', 'BOG.Usaquen-1', 'BOG.Usaquen-2', 'BOG.Usaquen-3', 'BOG.Pepe Sierra-3', 'BOG.Chico Reservado', 'BOG.Santa Ana', 'BOG.Calle 6', 'BOG.Feria', 'BOG.Corferias-2', 'BOG.Corferias-3', 'BOG.Corferias-4', 'BOG.Corferias-5', 'BOG.Teleport', 'BOG.Multicentro-1', 'BOG.Bosque Calderon', 'BOG.Chapinero Alto', 'BOG.Chapinero-1', 'BOG.Exito 53-2', 'BOG.Granahorrar-2', 'BOG.Ingemar', 'BOG.La Salle-2', 'BOG.Lourdes', 'BOG.Marly-1', 'BOG.Marly-2', 'BOG.Pedagogica', 'BOG.Santo Tomas', 'BOG.Santo Tomas-2', 'BOG.Umb', 'BOG.Villa Elisa-2', 'BOG.Bulevar Niza', 'BOG.Colina', 'BOG.La Granja-2', 'BOG.Prado-2', 'BOG.Quirigua', 'BOG.Subazar-2', 'BOG.Sultana', 'BOG.Villa Elisa', 'BOG.Bochica', 'BOG.Costa Azul', 'BOG.Covadonga-2', 'BOG.El Rubi', 'BOG.La Manuelita', 'BOG.Paris Gaitan', 'BOG.Portal 80', 'BOG.Subazar', 'BOG.Rb Milan', 'BOG.Mazuren-2', 'BOG.North Point-2', 'BOG.Rb Carabineros', 'BOG.Barrancas', 'BOG.Icata', 'BOG.Madeira', 'BOG.Rb2 Milan-2', 'BOG.CC Santa Ana', 'BOG.Pepe Sierra-2', 'BOG.Bosques de Medina', 'BOG.Capri-2', 'BOG.Cedro Golf', 'BOG.San Patricio-2', 'BOG.Monte Loma', 'BOG.Belmira', 'BOG.Capri', 'BOG.Exito 134', 'BOG.Batan-2', 'BOG.Calle 118', 'BOG.Castellana-2', 'BOG.Compensar 94-2', 'BOG.Diagonal 109', 'BOG.El Sauzal', 'BOG.La Calleja', 'BOG.Pepe Sierra-3:H1', 'BOG.Royal-1', 'BOG.Royal-3', 'BOG.Santa Bibiana-2', 'BOG.Batan', 'BOG.Calle 122', 'BOG.Las Villas', 'BOG.Soatama', 'BOG.Spring', 'BOG.Rb Gaitan', 'BOG.Alcazares', 'BOG.Benjamin Herrera-2', 'BOG.Calle 63', 'BOG.Colsubsidio 63', 'BOG.Heroes-2', 'BOG.Lorencita Villegas', 'BOG.Los Libertadores', 'BOG.7 de Agosto', 'BOG.Acuaparque', 'BOG.Campin', 'BOG.Colombia', 'BOG.J Vargas', 'BOG.Juan 23', 'BOG.Las Ferias-2', 'BOG.Polo', 'BOG.Rafael Uribe', 'BOG.Santa Sofia', 'BOG.Santa Sofia-2', 'BOG.Lujan', 'BOG.Normandia-4', 'BOG.Parque Simon Bolivar', 'BOG.Maloka', 'BOG.Sauzalito:H1', 'BOG.Maria del Lago', 'BOG.Normandia-1', 'BOG.Rb Normandia-3', 'BOG.Don Bosco P1', 'BOG.Don Bosco P2', 'BOG.Normandia Occidental', 'BOG.Normandia-2', 'BOG.Acapulco', 'BOG.Alamos Norte', 'BOG.Bosque Popular', 'BOG.Boyaca Real', 'BOG.San Joaquin', 'BOG.Tabora', 'BOG.Villemar', 'BOG.Ciudad Salitre', 'BOG.Fiscalia', 'BOG.Gobernacion', 'BOG.Gran Estacion-3', 'BOG.Quinta Paredes-3', 'BOG.Torre Argos', 'BOG.Centro Narino:H1', 'BOG.Federman', 'BOG.Quinta Paredes-2', 'BOG.Rb Pablo Sexto', 'BOG.Rb Usatama:H1', 'BOG.Recuerdo', 'BOG.Terminal-2', 'BOG.La Esmeralda', 'BOG.Can-2', 'BOG.Gran America', 'BOG.El Ejido', 'BOG.NOC Ortezal', 'BOG.Ortezal', 'BOG.Plaza Hoja', 'BOG.Pte Aranda-1', 'BOG.Perseverancia', 'BOG.Bavaro', 'BOG.Calle 45', 'BOG.Calle 47-1', 'BOG.Calle 57', 'BOG.Cataluna-2', 'BOG.Javeriana', 'BOG.Javeriana Ingenierias', 'BOG.La Magdalena-2', 'BOG.La Merced', 'BOG.La Nacional-1', 'BOG.La Nacional-2:H2', 'BOG.Palermo-2', 'BOG.Profamilia', 'BOG.Quesada', 'BOG.Sagrado Corazon', 'BOG.San Luis', 'BOG.Teusaquillo Norte', 'BOG.U Gran Colombia', 'BOG.Rb Galerias-3', 'BOG.Estadio Campin', 'BOG.Galerias-2', 'BOG.Palermo', 'BOG.Parkway:H2', 'BOG.Soledad', 'BOG.Teusaquillo', 'BOG.Universidad Catolica', 'BOG.Rb El Liston', 'BOG.Armenia-2', 'BOG.Armenia-3', 'BOG.Av Colon', 'BOG.Avenida 19-1', 'BOG.Calle 22', 'BOG.Carrera 5', 'BOG.Carrera 7', 'BOG.Centro Internacional', 'BOG.DAS', 'BOG.Hospital Mayor', 'BOG.Parque Bavaria', 'BOG.San Facon', 'BOG.San Martin', 'BOG.San Victorino', 'BOG.Santafe', 'BOG.Santamaria', 'BOG.Tequendama', 'BOG.Santa Ines-1', 'BOG.Armenia', 'BOG.Cementerio', 'BOG.Centro', 'BOG.Las Nieves', 'BOG.Paloquemao-2', 'BOG.Ministerio', 'BOG.Arqueologico', 'BOG.Capuchina-3', 'BOG.Carrera 10', 'BOG.San Francisco', 'BOG.Uniandes IP', 'BOG.Veracruz Centro', 'BOG.El Greco', 'BOG.Quinta Paredes', 'BOG.Ferrocarril', 'BOG.Paloquemao-3', 'BOG.Pedro Claver', 'BOG.Rincon Modelia', 'BOG.Terminal-1', 'BOG.Acuaparque-2', 'BOG.Almonacid', 'BOG.Antonio Granados', 'BOG.Aures-2', 'BOG.Cabana', 'BOG.El Castillo', 'BOG.IND Fundacion Santafe-4', 'BOG.Margaritas', 'BOG.Metropolis', 'BOG.Modelo Norte', 'BOG.Pedregal', 'BOG.Primavera Norte', 'BOG.Santa Barbara-1', 'BOG.Santa Helenita', 'BOG.Suba-2', 'BOG.Suba-3', 'BOG.Tibabuyes', 'BOG.Tibabuyes-2', 'BOG.Av Americas', 'BOG.La Camelia', 'BOG.Plaza Americas-3', 'BOG.Aranda', 'BOG.CC Zona In', 'BOG.Centro Industrial-2', 'BOG.Comuneros', 'BOG.El Vergel', 'BOG.Galan', 'BOG.Galan-2', 'BOG.Gorgonzola', 'BOG.Outlets Americas', 'BOG.Plaza Americas-2', 'BOG.Pradera', 'BOG.Rb Ricaurte-2:H1', 'BOG.Rb Ricaurte-2:H2', 'BOG.San Andresito', 'BOG.San Andresito-2', 'BOG.San Rafael Industrial', 'BOG.San Rafael-1', 'BOG.San Rafael-2', 'BOG.Tibana', 'BOG.Torremolinos', 'BOG.Bolivariano', 'BOG.Britalia-2', 'BOG.Cardio Infantil', 'BOG.Consuelo', 'BOG.Fontibon', 'BOG.Gilmar', 'BOG.H Simon Bolivar', 'BOG.Iberia', 'BOG.Orquideas', 'BOG.Rb Britalia', 'BOG.Rb Santa Monica', 'BOG.Villa del Prado', 'BOG.Villa del Prado-2', 'BOG.Verbenal', 'BOG.RB Plaza Claro-6', 'BOG.Temp Mintic']",7,Centro,23/2/24
BUC,MON,1,Whole Period,"['BUC.Alcaldia', 'BUC.Alfonso Lopez', 'BUC.Antonia Santos-2', 'BUC.Antonia Santos-3', 'BUC.Biblioteca Turbay', 'BUC.Bolarqui', 'BUC.Cabecera', 'BUC.Cabecera-2', 'BUC.Cabecera-3', 'BUC.CC Cabecera', 'BUC.Centro', 'BUC.Centro-2', 'BUC.Centro-3', 'BUC.Chicamocha', 'BUC.Cra 36', 'BUC.Exito', 'BUC.La Concordia', 'BUC.La Floresta', 'BUC.La Fontana', 'BUC.La Isla', 'BUC.La Victoria', 'BUC.Los Pinos', 'BUC.Mejoras Publicas', 'BUC.Mercado', 'BUC.Mutis', 'BUC.Parque Bolivar', 'BUC.Puerta del Sol-1', 'BUC.Puerta del Sol-2', 'BUC.Rb Niza-2', 'BUC.Rb Provenza', 'BUC.Rb Provenza-2', 'BUC.Real de Minas', 'BUC.San Alonso', 'BUC.San Francisco', 'BUC.San Pio', 'BUC.San Pio-2', 'BUC.Serrezuela', 'BUC.Sotomayor', 'BUC.U Industrial', 'BUC.Udes', 'BUC.Unab', 'BUC.Balcones de Provenza', 'BUC.Canaveral', 'BUC.Floridablanca-3', 'BUC.Fosunab', 'BUC.Gaitan', 'BUC.Granada', 'BUC.Porvenir', 'BUC.Sede CC La Florida', 'BUC.Universidad', 'BUC.Zona Refrescante']",7,Nororiente,23/2/24
CAL,MON,2,Whole Period,"['CAL.Av Colombia', 'CAL.Centenario', 'CAL.San Andresito', 'CAL.La Fes', 'CAL.Juanambu', 'CAL.Carrefour Norte', 'CAL.Acopi', 'CAL.Holguines', 'CAL.14 Pasoancho', 'CAL.Aguacatal', 'CAL.Alhambra', 'CAL.Aristi', 'CAL.Bodega Cubana', 'CAL.Calle Feria-1', 'CAL.Cam', 'CAL.Cambulos', 'CAL.Campestre-2', 'CAL.Campina', 'CAL.Canaveralejo', 'CAL.Caney-4', 'CAL.Capri', 'CAL.Carrefour Sur', 'CAL.Carvajal-2', 'CAL.CC Chipichape', 'CAL.CC Palmeto', 'CAL.CC Tesoro', 'CAL.Ciudad Jardin', 'CAL.Ciudad Jardin-2', 'CAL.Clinica Lili', 'CAL.Club Campestre', 'CAL.Club Farallones', 'CAL.Cosmo', 'CAL.Ferrocarril', 'CAL.Gran Limonar', 'CAL.Granada', 'CAL.Granada-2', 'CAL.Hacienda', 'CAL.Icesi', 'CAL.Imbanaco', 'CAL.IND Cosmocentro', 'CAL.IND Sodimac Sur', 'CAL.Ingenio', 'CAL.Javeriana-2', 'CAL.Jockey Club', 'CAL.La Calenidad', 'CAL.La Selva-2', 'CAL.La Sexta', 'CAL.Las Quintas', 'CAL.Libertadores', 'CAL.Lido', 'CAL.Lido-2', 'CAL.Limonar', 'CAL.Mayapan', 'CAL.Miraflores-2', 'CAL.Multicentro-2', 'CAL.Napoles', 'CAL.Normandia', 'CAL.Ochenta', 'CAL.Oeste', 'CAL.Palmeto', 'CAL.Polo', 'CAL.Puente Palma', 'CAL.RB CC Unicentro', 'CAL.RB Circunvalar P2', 'CAL.RB Colombina', 'CAL.Rumbodromo', 'CAL.San Andresito-2', 'CAL.San Fernando', 'CAL.San Joaquin', 'CAL.San Joaquin-2', 'CAL.San Vicente', 'CAL.Santa Isabel', 'CAL.Santa Librada', 'CAL.Santa Monica Norte', 'CAL.Santo Domingo', 'CAL.Sucre', 'CAL.Terminal Sameco', 'CAL.Ulpiano', 'CAL.Unicentro', 'CAL.Universidades', 'CAL.Vallecilla', 'CAL.Versalles', 'CAL.Via Pance', 'CAL.Vipasa', 'CAL.Vipasa-2', 'CAL.Alameda Pance', 'CAL.Club Hipico', 'CAL.IND Harinera del Valle-2', 'CAL.1 de Mayo', 'CAL.Berlin', 'CAL.Bosque', 'CAL.Calima', 'CAL.Campestre', 'CAL.Chorros', 'CAL.Circunvalar', 'CAL.Comfandi', 'CAL.Coomeva', 'CAL.Guadalupe', 'CAL.Horizonte', 'CAL.Inmaculada', 'CAL.La Merced', 'CAL.Los Almendros', 'CAL.Menga', 'CAL.Piloto', 'CAL.Popular', 'CAL.Prado Norte', 'CAL.RB La Selva']",7,Suroccidente,23/2/24
CAR,MON,2,Whole Period,"['CAR.Av Venezuela:P1', 'CAR.Av Venezuela:P2', 'CAR.Bco Popular-1', 'CAR.Bco Popular-2', 'CAR.Bocagrande', 'CAR.Bocagrande-2', 'CAR.Bocagrande-2:P1', 'CAR.Bocagrande-3', 'CAR.Bocagrande-6', 'CAR.Bocagrande-8', 'CAR.CAC Bocagrande', 'CAR.Caracucha', 'CAR.Castillo Grande', 'CAR.Conquistador', 'CAR.El Dorado', 'CAR.Hilton:P1', 'CAR.India Catalina', 'CAR.Getsemani', 'CAR.IND Radisson', 'CAR.Morros']",7,Costa,23/2/24
IBG,MON,2,Whole Period,['IBG.Arkacentro'],7,Suroccidente,23/2/24
MED,MON,2,Whole Period,"['MED.10 con Inferior', 'MED.Aguacatala', 'MED.Alpujarra', 'MED.Altos de San Diego', 'MED.Altos de San Diego-2:H2', 'MED.Balsos con 34', 'MED.Balsos con 34-3', 'MED.Balsos con Tesoro', 'MED.Carrefour Vegas', 'MED.Castropol', 'MED.CC Capricentro', 'MED.CC Punto Clave', 'MED.CC Santafe:H1', 'MED.CC Santafe:H2', 'MED.CC Santafe', 'MED.CC Tesoro', 'MED.Chocho', 'MED.City Plaza', 'MED.Ciudad del Rio', 'MED.Cl Manuel Uribe', 'MED.Cl.Medellin', 'MED.Cl.Rosario Poblado:H1', 'MED.Cl.Rosario Poblado:H2', 'MED.Cl.Rosario Poblado', 'MED.Club Campestre', 'MED.Club Country', 'MED.Cola del Zorro', 'MED.Colegiatura', 'MED.Cristo Rey', 'MED.Drive Inn', 'MED.El Atravesado', 'MED.El Portal', 'MED.Electronica B', 'MED.Ensenanza', 'MED.Envigado Parque', 'MED.Envigado Parque-2', 'MED.Envigado Pio XII', 'MED.Envigado', 'MED.Escobero Bajo', 'MED.Escobero', 'MED.Esmeraldal Flores:H1', 'MED.Esmeraldal Flores', 'MED.Esmeraldal Inter', 'MED.Estacion Ayura', 'MED.Exito San Antonio', 'MED.Glorieta San Diego', 'MED.H.General', 'MED.Hormiguero-2', 'MED.Hotel Dann', 'MED.IND CC Premium:H1', 'MED.IND CC Premium:H2', 'MED.IND CC Premium:H3', 'MED.IND Parque Tesoro:H1', 'MED.Industriales', 'MED.Inter', 'MED.Intercambio Aguacatala', 'MED.ISA', 'MED.La Casona', 'MED.La Florida', 'MED.La Frontera', 'MED.La Magnolia', 'MED.La Mayoria', 'MED.La Paz', 'MED.Las Palmas', 'MED.Lleras', 'MED.Loma de los Benedictinos', 'MED.Loma de los Gonzalez', 'MED.Loma Esmeraldal', 'MED.Los Sauces', 'MED.Manila', 'MED.Mayorca', 'MED.Megacenter', 'MED.Milla de Oro', 'MED.Molinos del Viento', 'MED.Monterrey', 'MED.Palmas Euro', 'MED.Palms Avennue', 'MED.Patio Bonito', 'MED.Peldar', 'MED.Piazzabella', 'MED.Pintuco', 'MED.Plaza Mayor Cubo-1', 'MED.Poblado', 'MED.Punto Clave', 'MED.RB Atempi', 'MED.RB Chingui', 'MED.RB Loma del Escobero', 'MED.RB Trianon', 'MED.San Carbon', 'MED.San Diego', 'MED.San Julian', 'MED.San Lucas', 'MED.Santa Maria de los Angeles', 'MED.Santillana', 'MED.Tabaco', 'MED.Tenche-3', 'MED.Tesoro', 'MED.Transversal Inferior', 'MED.Transversal Superior', 'MED.Universidad Envigado', 'MED.Vizcaya-1', 'MED.Vizcaya-2', 'MED.Zuniga', 'MED.H Infantil', 'MED.Jardin Botanico']",7,Noroccidente,23/2/24
SND,MON,3,Whole Period,"['SND.Giron Centro', 'SND.Giron San Jorge', 'SND.Giron-1']",7,Nororiente,23/2/24
VCO,MON,3,Whole Period,['VCO.Terminal-1'],7,Centro,23/2/24
